label,absolute_time_s,relative_time_s,sampling_side,transition_phase,transition,input_source_v,input_bus_v,output_v,input_inductor_current_a,output_load_current_a,sum_phase_currents_a,source_current_variable_a,raw_src,raw_src_r,raw_vin,raw_tap3,raw_tap2,raw_tap1,raw_a1,raw_a2,raw_a3,raw_x1,raw_x2,raw_x3,raw_x4,raw_out,raw_LPAR_IN,raw_L1,raw_L2,raw_L3,raw_L4,raw_I_VSTEP,precharge_diode1_on_left_limit,precharge_diode1_anode_minus_cathode_v,precharge_diode1_reliability,precharge_diode2_on_left_limit,precharge_diode2_anode_minus_cathode_v,precharge_diode2_reliability,precharge_diode3_on_left_limit,precharge_diode3_anode_minus_cathode_v,precharge_diode3_reliability,phase1_high_side_on_left_limit,phase1_low_side_on_left_limit,phase1_switch_node_v,phase1_high_side_voltage_first_minus_second_v,phase1_low_side_voltage_first_minus_ground_v,phase1_inductor_current_first_to_second_a,phase1_inductor_voltage_first_minus_second_v,phase1_flying_capacitor_voltage_first_minus_second_v,phase2_high_side_on_left_limit,phase2_low_side_on_left_limit,phase2_switch_node_v,phase2_high_side_voltage_first_minus_second_v,phase2_low_side_voltage_first_minus_ground_v,phase2_inductor_current_first_to_second_a,phase2_inductor_voltage_first_minus_second_v,phase2_flying_capacitor_voltage_first_minus_second_v,phase3_high_side_on_left_limit,phase3_low_side_on_left_limit,phase3_switch_node_v,phase3_high_side_voltage_first_minus_second_v,phase3_low_side_voltage_first_minus_ground_v,phase3_inductor_current_first_to_second_a,phase3_inductor_voltage_first_minus_second_v,phase3_flying_capacitor_voltage_first_minus_second_v,phase4_high_side_on_left_limit,phase4_low_side_on_left_limit,phase4_switch_node_v,phase4_high_side_voltage_first_minus_second_v,phase4_low_side_voltage_first_minus_ground_v,phase4_inductor_current_first_to_second_a,phase4_inductor_voltage_first_minus_second_v,phase4_flying_capacitor_voltage_first_minus_second_v
P1_high_side_turn_on_0.000000ns,2.3e-05,0.0,left_limit,1,high_side_turn_on,48.00000002218143,47.9533036125399,1.0059798667014976,5.264999623447561,251.4949666753744,205.59779788484812,-5.26499962349542,48.00000002218143,47.94735002594821,47.9533036125399,6.011723548967957e-11,-8.955596809777312e-10,-8.817743683405886e-10,35.75647334924151,23.797972163774645,11.839470969786113,-1.1088817223268539e-07,-3.408323877706546e-05,-6.838245679584927e-05,-0.00010302121460988678,1.0059798667014976,5.264999623447561,0.1108880133312274,34.08323877735973,68.38245679258311,103.02121430157403,-5.26499962349542,False,-35.75647334918139,INVALID_WITHOUT_PHYSICAL_SLOW_COORDINATES,False,-23.797972164670206,INVALID_WITHOUT_PHYSICAL_SLOW_COORDINATES,False,-11.839470970667888,INVALID_WITHOUT_PHYSICAL_SLOW_COORDINATES,False,True,-1.1088817223268539e-07,12.196830263298388,-1.1088817223268539e-07,0.1108880133312274,-1.0059799775896698,35.75647346012968,False,True,-3.408323877706546e-05,11.958501185466865,-3.408323877706546e-05,34.08323877735973,-1.0060139499402747,23.798006247013422,False,True,-6.838245679584927e-05,11.958501193988532,-6.838245679584927e-05,68.38245679258311,-1.0060482491582934,11.839539352242909,False,True,-0.00010302121460988678,11.839573991000723,-0.00010302121460988678,103.02121430157403,-1.0060828879161074,
P1_high_side_turn_off_16.666667ns,2.3016666666666666e-05,1.6666666666666664e-08,left_limit,1,high_side_turn_off,47.99999999999987,47.940343451084274,1.0059811667171443,5.259280609738237,251.49529167928608,297.0677407744906,-5.259280609738237,47.99999999999987,47.94740719390249,47.940343451084274,-0.009720121030058761,-0.006480081622435114,-0.0032400412452413094,47.94021757211309,23.797983595705954,11.839482402496964,11.830526239209318,-2.2651307440255153e-05,-5.694974593671789e-05,-9.1587716210205e-05,1.0059811667171443,5.259280609738237,125.87897118728735,22.651307440268393,56.94974593671799,91.58771621021684,-5.259280609738237,False,-47.94993769314315,INVALID_WITHOUT_PHYSICAL_SLOW_COORDINATES,False,-23.80446367732839,INVALID_WITHOUT_PHYSICAL_SLOW_COORDINATES,False,-11.842722443742206,INVALID_WITHOUT_PHYSICAL_SLOW_COORDINATES,True,False,11.830526239209318,0.000125878971182658,11.830526239209318,125.87897118728735,10.824545072492175,36.10969133290377,False,True,-2.2651307440255153e-05,24.142233976407137,-2.2651307440255153e-05,22.651307440268393,-1.0060038180245845,23.798006247013394,False,True,-5.694974593671789e-05,11.95850119320899,-5.694974593671789e-05,56.94974593671799,-1.006038116463081,11.8395393522429,False,True,-9.1587716210205e-05,11.839573990213173,-9.1587716210205e-05,91.58771621021684,-1.0060727544333545,
P2_high_side_turn_on_50.000000ns,2.305e-05,5e-08,left_limit,2,high_side_turn_on,48.00000000000012,47.9426900195783,1.005979300632651,5.29717845489806,251.49482515816274,205.59863019448107,-5.29717845489806,48.00000000000012,47.947028215451134,47.9426900195783,-0.00796019465624594,-0.005306797373224422,-0.002653399120635315,36.10958832355604,23.798006460637488,11.83950526898748,-0.0001030093475941175,2.1362409331996188e-07,-3.408325541874173e-05,-6.871965127491811e-05,1.005979300632651,5.29717845489806,103.0093475941175,-0.2136240933081225,34.083255418741736,68.71965127492996,-5.29717845489806,False,-36.11754851821229,INVALID_WITHOUT_PHYSICAL_SLOW_COORDINATES,False,-23.803313258010714,INVALID_WITHOUT_PHYSICAL_SLOW_COORDINATES,False,-11.842158668108116,INVALID_WITHOUT_PHYSICAL_SLOW_COORDINATES,False,True,-0.0001030093475941175,11.833101696022261,-0.0001030093475941175,103.0093475941175,-1.0060823099802452,36.10969133290364,False,True,2.1362409331996188e-07,12.311581862918551,2.1362409331996188e-07,-0.2136240933081225,-1.0059790870085576,23.798006247013394,False,True,-3.408325541874173e-05,11.958501191650008,-3.408325541874173e-05,34.083255418741736,-1.0060133838880696,11.839539352242898,False,True,-6.871965127491811e-05,11.839573988638755,-6.871965127491811e-05,68.71965127492996,-1.006048020283926,
P2_high_side_turn_off_66.666667ns,2.3066666666666667e-05,6.666666666666665e-08,left_limit,2,high_side_turn_off,47.999999999999886,47.94386861937139,1.0059817604178027,5.309450817494205,251.4954401044507,297.06776294428846,-5.309450817494204,47.999999999999886,47.94690549182494,47.94386861937139,-0.00707624480976896,-0.004717497475571567,-0.0023587491718085663,35.75625633062348,35.75613077624533,11.839516700918596,-0.00021712950565889975,11.604906656451346,-2.265132430189569e-05,-5.7286932976259014e-05,1.0059817604178027,5.309450817494205,91.57512750752599,125.5543781585899,22.65132430190169,57.286932976270855,-5.309450817494204,False,-35.763332575433246,INVALID_WITHOUT_PHYSICAL_SLOW_COORDINATES,False,-35.7608482737209,INVALID_WITHOUT_PHYSICAL_SLOW_COORDINATES,False,-11.841875450090404,INVALID_WITHOUT_PHYSICAL_SLOW_COORDINATES,False,True,-0.00021712950565889975,12.187612288747914,-0.00021712950565889975,91.57512750752599,-1.0061988899234617,35.756473460129136,True,False,11.604906656451346,0.00012555437815109372,11.604906656451346,125.5543781585899,10.598924896033544,24.15122411979398,False,True,-2.265132430189569e-05,23.916614075326734,-2.265132430189569e-05,22.65132430190169,-1.0060044117421045,11.839539352242898,False,True,-5.7286932976259014e-05,11.839573987851573,-5.7286932976259014e-05,57.286932976270855,-1.006039047350779,
P3_high_side_turn_on_100.000000ns,2.31e-05,1e-07,left_limit,3,high_side_turn_on,47.99999999999999,47.946231630495554,1.0059798932406436,5.321319808371319,251.4949733101609,205.59859843858288,-5.321319808371319,47.99999999999999,47.94678680191628,47.946231630495554,-0.005303986463471377,-0.00353599191137112,-0.0017679963897077005,35.756404753079416,24.1511214350381,11.839539565863612,-6.870704966326793e-05,-0.00010268475583812825,2.136207136133824e-07,-3.442041365077641e-05,1.0059798932406436,5.321319808371319,68.70704966326794,102.68475583814009,-0.21362071361338256,34.42041365078825,-5.321319808371319,False,-35.76170873954289,INVALID_WITHOUT_PHYSICAL_SLOW_COORDINATES,False,-24.15465742694947,INVALID_WITHOUT_PHYSICAL_SLOW_COORDINATES,False,-11.84130756225332,INVALID_WITHOUT_PHYSICAL_SLOW_COORDINATES,False,True,-6.870704966326793e-05,12.189826877416138,-6.870704966326793e-05,68.70704966326794,-1.0060486002903068,35.75647346012908,False,True,-0.00010268475583812825,11.605283318041316,-0.00010268475583812825,102.68475583814009,-1.0060825779964817,24.151224119793937,False,True,2.136207136133824e-07,12.311581869174487,2.136207136133824e-07,-0.21362071361338256,-1.00597967961993,11.839539352242898,False,True,-3.442041365077641e-05,11.839573986277262,-3.442041365077641e-05,34.42041365078825,-1.0060143136542945,
P3_high_side_turn_off_116.666667ns,2.3116666666666665e-05,1.1666666666666665e-07,left_limit,3,high_side_turn_off,47.9999999999998,47.94741420369829,1.0059823523360996,5.321183376667621,251.4955880840249,297.0677042680685,-5.321183376667621,47.9999999999998,47.94678816623312,47.94741420369829,-0.004417056559898922,-0.002944705308988166,-0.0014723530885155595,35.756416185804085,23.797789442100093,23.79766388772529,-5.7274324920721894e-05,-0.00021680491120183926,11.604906662695731,-2.2988468141063106e-05,1.0059823523360996,5.321183376667621,57.27432492074408,91.2505363982879,125.55437480794959,22.988468141086905,-5.321183376667621,False,-35.76083324236399,INVALID_WITHOUT_PHYSICAL_SLOW_COORDINATES,False,-23.80073414740908,INVALID_WITHOUT_PHYSICAL_SLOW_COORDINATES,False,-23.799136240813805,INVALID_WITHOUT_PHYSICAL_SLOW_COORDINATES,False,True,-5.7274324920721894e-05,12.190998017894202,-5.7274324920721894e-05,57.27432492074408,-1.0060396266610203,35.75647346012901,False,True,-0.00021680491120183926,11.958626743703991,-0.00021680491120183926,91.2505363982879,-1.0061991572473015,23.798006247011294,True,False,11.604906662695731,0.00012555437480443743,11.604906662695731,125.55437480794959,10.598924310359632,12.192757225029558,False,True,-2.2988468141063106e-05,23.79768687619343,-2.2988468141063106e-05,22.988468141086905,-1.0060053408042406,
P4_high_side_turn_on_150.000000ns,2.315e-05,1.5e-07,left_limit,4,high_side_turn_on,47.99999999999991,47.94977711062492,1.0059804834938062,5.309425282944384,251.49512087345155,205.59848602843996,-5.3094252829443835,47.99999999999991,47.94690574717046,47.94977711062492,-0.0026448763616499873,-0.0017632518434866312,-0.0008816263557641178,35.756439052336226,23.797937864551418,12.192654540290501,-3.440779273419447e-05,-6.838245987367519e-05,-0.00010268473905350457,-1.2349436704135007e-07,1.0059804834938062,5.309425282944384,34.40779273419447,68.38245987368738,102.68473905350457,0.12349436705354273,-5.3094252829443835,False,-35.759083928697876,INVALID_WITHOUT_PHYSICAL_SLOW_COORDINATES,False,-23.799701116394903,INVALID_WITHOUT_PHYSICAL_SLOW_COORDINATES,False,-12.193536166646265,INVALID_WITHOUT_PHYSICAL_SLOW_COORDINATES,False,True,-3.440779273419447e-05,12.193338058288695,-3.440779273419447e-05,34.40779273419447,-1.0060148912865403,35.75647346012896,False,True,-6.838245987367519e-05,11.958501187784808,-6.838245987367519e-05,68.38245987368738,-1.00604886595368,23.79800624701129,False,True,-0.00010268473905350457,11.605283324260917,-0.00010268473905350457,102.68473905350457,-1.0060831682328597,12.192757225029554,False,True,-1.2349436704135007e-07,12.192654663784868,-1.2349436704135007e-07,0.12349436705354273,-1.0059806069881732,
P4_high_side_turn_off_166.666667ns,2.3166666666666666e-05,1.6666666666666665e-07,left_limit,4,high_side_turn_off,47.99999999999996,47.9509557813043,1.0059817395561954,5.298061798230969,251.49543488904885,297.0669601989331,-5.298061798230968,47.99999999999996,47.94701938201764,47.9509557813043,-0.001760873350581082,-0.0011739165027729458,-0.0005869586854069398,35.75645048428172,23.79794929726905,11.839322210870847,-2.2975847240770297e-05,-5.6949742237549634e-05,-0.00021714137071961854,11.83919632001947,1.0059817395561954,5.298061798230969,22.975847240770293,56.94974223756146,91.25051934347819,125.89085137712313,-5.298061798230968,False,-35.758211357632305,INVALID_WITHOUT_PHYSICAL_SLOW_COORDINATES,False,-23.79912321377182,INVALID_WITHOUT_PHYSICAL_SLOW_COORDINATES,False,-11.839909169556254,INVALID_WITHOUT_PHYSICAL_SLOW_COORDINATES,False,True,-2.2975847240770297e-05,12.19450529702258,-2.2975847240770297e-05,22.975847240770293,-1.0060047154034362,35.756473460128966,False,True,-5.6949742237549634e-05,11.958501187012672,-5.6949742237549634e-05,56.94974223756146,-1.006038689298433,23.798006247011287,False,True,-0.00021714137071961854,11.958627086398202,-0.00021714137071961854,91.25051934347819,-1.0061988809269151,11.839539352241566,True,False,11.83919632001947,0.00012589085137726386,11.83919632001947,125.89085137712313,10.833214580463274,
P1_next_period_high_side_turn_on_200.000000ns,2.3199999999999998e-05,2e-07,left_limit,1,next_period_high_side_turn_on,48.00000000000015,47.95330361253643,1.0059798667015045,5.264999628000926,251.49496667537613,205.59779788492605,-5.2649996280009255,48.00000000000015,47.94735000372013,47.95330361253643,7.664670905407274e-11,-8.846188972464884e-10,-8.763292606602858e-10,35.75647334924081,23.797972163772524,11.839470969784761,-1.1088801335147375e-07,-3.408323877737208e-05,-6.838245679260298e-05,-0.00010302121430157584,1.0059798667015045,5.264999628000926,0.11088801335147373,34.08323877738392,68.38245679260298,103.02121430158768,-5.2649996280009255,False,-35.75647334916416,INVALID_WITHOUT_PHYSICAL_SLOW_COORDINATES,False,-23.797972164657143,INVALID_WITHOUT_PHYSICAL_SLOW_COORDINATES,False,-11.839470970661091,INVALID_WITHOUT_PHYSICAL_SLOW_COORDINATES,False,True,-1.1088801335147375e-07,12.196830263295624,-1.1088801335147375e-07,0.11088801335147373,-1.005979977589518,35.75647346012882,False,True,-3.408323877737208e-05,11.958501185468283,-3.408323877737208e-05,34.08323877738392,-1.0060139499402818,23.7980062470113,False,True,-6.838245679260298e-05,11.958501193987763,-6.838245679260298e-05,68.38245679260298,-1.0060482491582972,11.839539352241554,False,True,-0.00010302121430157584,11.839573990999062,-0.00010302121430157584,103.02121430158768,-1.0060828879158061,
