Vds_V,Coss_pF
37.222870,263.9075
37.339557,263.9075
37.456243,263.9075
37.572929,263.9075
37.689615,263.9075
37.806301,263.9075
37.922987,263.9075
38.039673,263.9075
38.156359,263.9075
38.273046,260.9615
38.389732,260.9615
38.506418,260.9615
38.623104,260.9615
38.739790,260.9615
38.856476,259.0157
38.973162,259.0157
39.089848,259.0157
39.206534,259.0157
39.323221,259.0157
39.439907,259.0157
39.556593,259.0157
39.673279,259.0157
39.789965,259.0157
39.906651,259.0157
40.023337,259.0157
40.140023,259.0157
40.256709,259.0157
40.373396,259.0157
40.490082,259.0157
40.606768,259.0157
40.723454,259.0157
40.840140,259.0157
40.956826,259.0157
41.073512,259.0157
41.190198,259.0157
41.306884,259.0157
41.423571,259.0157
41.540257,259.0157
41.656943,259.0157
41.773629,259.0157
41.890315,259.0157
42.007001,259.0157
42.123687,259.0157
42.240373,259.0157
42.357060,257.0845
42.473746,257.0845
42.590432,257.0845
42.707118,257.0845
42.823804,257.0845
42.940490,254.2146
43.057176,254.2146
43.173862,254.2146
43.290548,254.2146
43.407235,254.2146
43.523921,254.2146
43.640607,254.2146
43.757293,254.2146
43.873979,254.2146
43.990665,254.2146
44.107351,254.2146
44.224037,254.2146
44.340723,254.2146
44.457410,254.2146
44.574096,254.2146
44.690782,254.2146
44.807468,254.2146
44.924154,254.2146
45.040840,254.2146
45.157526,252.3191
45.274212,252.3191
45.390898,252.3191
45.507585,252.3191
45.624271,252.3191
45.740957,250.4378
45.857643,250.4378
45.974329,250.4378
46.091015,250.4378
46.207701,250.4378
46.324387,250.4378
46.441074,250.4378
46.557760,250.4378
46.674446,250.4378
46.791132,250.4378
46.907818,250.4378
47.024504,250.4378
47.141190,250.4378
47.257876,250.4378
47.374562,250.4378
47.491249,250.4378
47.607935,250.4378
47.724621,250.4378
47.841307,250.4378
47.957993,250.4378
48.074679,250.4378
48.191365,247.6421
48.308051,247.6421
48.424737,247.6421
48.541424,247.6421
48.658110,247.6421
48.774796,247.6421
48.891482,244.8776
49.008168,244.8776
49.124854,244.8776
49.241540,244.8776
49.358226,244.8776
49.474912,244.8776
49.591599,244.8776
49.708285,244.8776
49.824971,244.8776
49.941657,244.8776
50.058343,244.8776
50.175029,244.8776
50.291715,244.8776
50.408401,244.8776
50.525088,244.8776
50.641774,244.8776
50.758460,244.8776
50.875146,244.8776
50.991832,244.8776
51.108518,244.8776
51.225204,244.8776
51.341890,244.8776
51.458576,244.8776
51.575263,244.8776
51.691949,244.8776
51.808635,244.8776
51.925321,244.8776
52.042007,244.8776
52.158693,244.8776
52.275379,243.0518
52.392065,243.0518
52.508751,243.0518
52.625438,243.0518
52.742124,243.0518
52.858810,241.2396
52.975496,241.2396
53.092182,241.2396
53.208868,241.2396
53.325554,241.2396
53.442240,241.2396
53.558926,241.2396
53.675613,241.2396
53.792299,241.2396
53.908985,241.2396
54.025671,241.2396
54.142357,241.2396
54.259043,241.2396
54.375729,241.2396
54.492415,241.2396
54.609102,241.2396
54.725788,241.2396
54.842474,241.2396
54.959160,241.2396
55.075846,241.2396
55.192532,241.2396
55.309218,241.2396
55.425904,238.5465
55.542590,238.5465
55.659277,236.7679
55.775963,236.7679
55.892649,236.7679
56.009335,236.7679
56.126021,236.7679
56.242707,236.7679
56.359393,236.7679
56.476079,236.7679
56.592765,236.7679
56.709452,236.7679
56.826138,236.7679
56.942824,236.7679
57.059510,236.7679
57.176196,236.7679
57.292882,236.7679
57.409568,236.7679
57.526254,236.7679
57.642940,236.7679
57.759627,236.7679
57.876313,236.7679
57.992999,236.7679
58.109685,236.7679
58.226371,236.7679
58.343057,236.7679
58.459743,236.7679
58.576429,236.7679
58.693116,236.7679
58.809802,236.7679
58.926488,236.7679
59.043174,236.7679
59.159860,236.7679
59.276546,236.7679
59.393232,235.0026
59.509918,235.0026
59.626604,235.0026
59.743291,232.3792
59.859977,232.3792
59.976663,232.3792
60.093349,232.3792
60.210035,232.3792
60.326721,232.3792
60.443407,232.3792
60.560093,232.3792
60.676779,232.3792
60.793466,232.3792
60.910152,232.3792
61.026838,232.3792
61.143524,232.3792
61.260210,232.3792
61.376896,232.3792
61.493582,232.3792
61.610268,232.3792
61.726954,232.3792
61.843641,232.3792
61.960327,232.3792
62.077013,232.3792
62.193699,232.3792
62.310385,232.3792
62.427071,232.3792
62.543757,232.3792
62.660443,232.3792
62.777130,232.3792
62.893816,232.3792
63.010502,232.3792
63.127188,229.7851
63.243874,229.7851
63.360560,229.7851
63.477246,229.7851
63.593932,229.7851
63.710618,229.7851
63.827305,228.0718
63.943991,228.0718
64.060677,228.0718
64.177363,228.0718
64.294049,228.0718
64.410735,228.0718
64.527421,228.0718
64.644107,228.0718
64.760793,228.0718
64.877480,228.0718
64.994166,228.0718
65.110852,228.0718
65.227538,228.0718
65.344224,228.0718
65.460910,228.0718
65.577596,228.0718
65.694282,228.0718
65.810968,228.0718
65.927655,228.0718
66.044341,228.0718
66.161027,228.0718
66.277713,228.0718
66.394399,228.0718
66.511085,228.0718
66.627771,228.0718
66.744457,228.0718
66.861144,228.0718
66.977830,228.0718
67.094516,228.0718
67.211202,226.3712
67.327888,226.3712
67.444574,226.3712
67.561260,226.3712
67.677946,226.3712
67.794632,226.3712
67.911319,223.8442
68.028005,223.8442
68.144691,223.8442
68.261377,223.8442
68.378063,223.8442
68.494749,223.8442
68.611435,223.8442
68.728121,223.8442
68.844807,223.8442
68.961494,223.8442
69.078180,223.8442
69.194866,223.8442
69.311552,223.8442
69.428238,223.8442
69.544924,223.8442
69.661610,223.8442
69.778296,223.8442
69.894982,223.8442
70.011669,223.8442
70.128355,223.8442
70.245041,223.8442
70.361727,223.8442
70.478413,223.8442
70.595099,223.8442
70.711785,223.8442
70.828471,223.8442
70.945158,223.8442
71.061844,223.8442
71.178530,223.8442
71.295216,222.1752
71.411902,222.1752
71.528588,222.1752
71.645274,222.1752
71.761960,222.1752
71.878646,220.5186
71.995333,220.5186
72.112019,220.5186
72.228705,220.5186
72.345391,220.5186
72.462077,220.5186
72.578763,220.5186
72.695449,220.5186
72.812135,220.5186
72.928821,220.5186
73.045508,220.5186
73.162194,220.5186
73.278880,220.5186
73.395566,220.5186
73.512252,220.5186
73.628938,220.5186
73.745624,220.5186
73.862310,220.5186
73.978996,220.5186
74.095683,220.5186
74.212369,220.5186
74.329055,220.5186
74.445741,220.5186
74.562427,220.5186
74.679113,220.5186
74.795799,220.5186
74.912485,220.5186
75.029172,220.5186
75.145858,220.5186
75.262544,220.5186
75.379230,218.0569
75.495916,218.0569
75.612602,218.0569
75.729288,218.0569
75.845974,218.0569
75.962660,215.6227
76.079347,215.6227
76.196033,215.6227
76.312719,215.6227
76.429405,215.6227
76.546091,215.6227
76.662777,215.6227
76.779463,215.6227
76.896149,215.6227
77.012835,215.6227
77.129522,215.6227
77.246208,215.6227
77.362894,215.6227
77.479580,215.6227
77.596266,215.6227
77.712952,215.6227
77.829638,215.6227
77.946324,215.6227
78.063011,215.6227
78.179697,215.6227
78.296383,215.6227
78.413069,215.6227
78.529755,215.6227
78.646441,215.6227
78.763127,215.6227
78.879813,215.6227
78.996499,215.6227
79.113186,215.6227
79.229872,215.6227
79.346558,215.6227
79.463244,215.6227
79.579930,215.6227
79.696616,215.6227
79.813302,215.6227
79.929988,215.6227
80.046674,215.6227
80.163361,215.6227
80.280047,214.0150
80.396733,214.0150
80.513419,214.0150
80.630105,214.0150
80.746791,214.0150
80.863477,214.0150
80.980163,212.4193
81.096849,212.4193
81.213536,212.4193
81.330222,212.4193
81.446908,212.4193
81.563594,212.4193
81.680280,212.4193
81.796966,212.4193
81.913652,212.4193
82.030338,212.4193
82.147025,212.4193
82.263711,212.4193
82.380397,212.4193
82.497083,212.4193
82.613769,212.4193
82.730455,212.4193
82.847141,212.4193
82.963827,212.4193
83.080513,212.4193
83.197200,212.4193
83.313886,212.4193
83.430572,212.4193
83.547258,212.4193
83.663944,212.4193
83.780630,212.4193
83.897316,212.4193
84.014002,212.4193
84.130688,212.4193
84.247375,212.4193
84.364061,212.4193
84.480747,212.4193
84.597433,212.4193
84.714119,212.4193
84.830805,212.4193
84.947491,212.4193
85.064177,212.4193
85.180863,212.4193
85.297550,212.4193
85.414236,212.4193
85.530922,212.4193
85.647608,212.4193
85.764294,212.4193
85.880980,212.4193
85.997666,212.4193
86.114352,212.4193
86.231039,210.0480
86.347725,210.0480
86.464411,210.0480
86.581097,210.0480
86.697783,210.0480
86.814469,208.4819
86.931155,208.4819
87.047841,208.4819
87.164527,208.4819
87.281214,208.4819
87.397900,208.4819
87.514586,208.4819
87.631272,208.4819
87.747958,208.4819
87.864644,208.4819
87.981330,208.4819
88.098016,208.4819
88.214702,208.4819
88.331389,208.4819
88.448075,208.4819
88.564761,208.4819
88.681447,208.4819
88.798133,208.4819
88.914819,208.4819
89.031505,208.4819
89.148191,208.4819
89.264877,208.4819
89.381564,208.4819
89.498250,208.4819
89.614936,208.4819
89.731622,208.4819
89.848308,208.4819
89.964994,208.4819
90.081680,208.4819
90.198366,208.4819
90.315053,208.4819
90.431739,208.4819
90.548425,208.4819
90.665111,208.4819
90.781797,208.4819
90.898483,208.4819
91.015169,208.4819
91.131855,208.4819
91.248541,208.4819
91.365228,208.4819
91.481914,208.4819
91.598600,208.4819
91.715286,208.4819
91.831972,208.4819
91.948658,208.4819
92.065344,208.4819
92.182030,208.4819
92.298716,208.4819
92.415403,208.4819
92.532089,208.4819
92.648775,208.4819
92.765461,208.4819
92.882147,208.4819
92.998833,208.4819
93.115519,208.4819
93.232205,208.4819
93.348891,206.9274
93.465578,206.9274
93.582264,206.9274
93.698950,206.9274
93.815636,206.9274
93.932322,206.9274
94.049008,204.6174
94.165694,204.6174
94.282380,204.6174
94.399067,204.6174
94.515753,204.6174
94.632439,204.6174
94.749125,204.6174
94.865811,204.6174
94.982497,204.6174
95.099183,204.6174
95.215869,204.6174
95.332555,204.6174
95.449242,204.6174
95.565928,204.6174
95.682614,204.6174
95.799300,204.6174
95.915986,204.6174
96.032672,204.6174
96.149358,204.6174
96.266044,204.6174
96.382730,204.6174
96.499417,204.6174
96.616103,204.6174
96.732789,204.6174
96.849475,204.6174
96.966161,204.6174
97.082847,204.6174
97.199533,204.6174
97.316219,204.6174
97.432905,204.6174
97.549592,204.6174
97.666278,204.6174
97.782964,204.6174
97.899650,204.6174
98.016336,204.6174
98.133022,204.6174
98.249708,204.6174
98.366394,204.6174
98.483081,204.6174
98.599767,204.6174
98.716453,204.6174
98.833139,204.6174
98.949825,204.6174
99.066511,204.6174
99.183197,204.6174
99.299883,204.6174
99.416569,204.6174
99.533256,204.6174
99.649942,204.6174
