case,grid,cfly_uf,tramp_us,tstop_target_us,vc1_init,vc2_init,vc3_init,vc1_at_tramp,vc2_at_tramp,vc3_at_tramp,vout_at_tramp,vc1_final,vc2_final,vc3_final,vout_final,vout_pk,vout_min,vout_overshoot,iin_pk,il1_min,il1_max,il2_min,il2_max,il3_min,il3_max,il4_min,il4_max,vout_err,vc1_err,vc2_err,vc3_err,ladder_err,max_abs_il_a,within_250a_bound
e16_ctrl_f3_t1,ctrl,3.0,1.0,301.0,4.14452012983e-07,3.6288592573e-18,0.0,0.780893095827,0.113068732892,0.0137645644659,0.0122579587623,19.876533934,13.1572380975,6.65956848059,0.558758281324,0.560476899147,0.0,-0.439523100853,150.07043457,-21.4466552734,150.07043457,-23.1201972961,94.4107818604,-18.4247112274,86.4951324463,-32.1006011963,84.0164413452,0.441241718676,0.447874057388,0.451781745938,0.445035959951,1.34469176328,150.07043457,True
e16_g1_f3_t68p61,g1,3.0,68.61,368.61,6.03604906327e-09,5.28642225408e-20,0.0,16.0089888573,10.6120370003,5.293596499,0.44914662838,19.914367199,13.2204933634,6.57799526435,0.558834910393,0.559050381184,0.0,-0.440949618816,134.54850769,-4.44887495041,86.9364776611,-0.720859587193,70.3658294678,-0.762312054634,70.251701355,-2.04166507721,70.478302002,0.441165089607,0.446823133361,0.449146109857,0.451833727971,1.34780297119,86.9364776611,True
e16_g2_f3_t22p87,g2,3.0,22.87,322.87,1.81074523397e-08,1.58601131155e-19,0.0,10.2036876514,6.9773115157,3.39612376818,0.288166761398,19.8628143378,13.4089480807,6.57340564906,0.558888029894,0.559078574181,0.0,-0.440921425819,111.590934753,-10.982208252,111.590934753,-1.15584993362,70.7746963501,-1.08464336395,70.8093795776,-5.38360738754,70.7762451172,0.441111970106,0.448255157283,0.441293829971,0.452216195912,1.34176518317,111.590934753,True
e16_g1_f0p6_t30p68,g1,0.6,30.68,330.68,6.75291029554e-08,5.91437321775e-19,0.0,14.1195272318,10.5190968755,4.41075194789,0.427416026592,18.9907798722,13.5458891063,6.10746842472,0.564211006388,0.564301133156,0.0,-0.435698866844,92.244720459,-5.6185708046,92.244720459,-1.22037911415,71.6594696045,-1.23739814758,70.2080001831,-0.310735166073,71.1784133911,0.435788993612,0.472478336883,0.435587953904,0.49104429794,1.39911058873,92.244720459,True
