negative_target_a,minimum_vds_high_after_release_v,CH_pF,CL_pF,source,Ceff_pF
1.25,9.439933776855469,635.0,1020.0,A41_symmetric,391.3595166163142
1.25,9.547935485839844,885.0,1270.0,A41_symmetric,521.554524361949
1.25,9.303035736083984,435.0,820.0,A41_symmetric,284.2231075697211
2.5,7.99578857421875,385.0,770.0,A41_high_only,256.6666666666667
2.5,8.693397521972656,1385.0,770.0,A41_high_only,494.8723897911833
2.5,8.103614807128906,485.0,770.0,A41_high_only,297.56972111553785
2.5,9.009628295898438,2385.0,770.0,A41_high_only,582.0760697305864
2.5,8.242294311523438,635.0,770.0,A41_high_only,348.0071174377224
2.5,8.42812728881836,885.0,770.0,A41_high_only,411.7522658610272
2.5,8.0513916015625,435.0,770.0,A41_high_only,277.9668049792531
2.5,7.99578857421875,385.0,770.0,A41_symmetric,256.6666666666667
2.5,9.009464263916016,1385.0,1770.0,A41_symmetric,777.0047543581617
2.5,8.198646545410156,485.0,870.0,A41_symmetric,311.40221402214024
2.5,9.319507598876951,2385.0,2770.0,A41_symmetric,1281.561590688652
2.5,8.428054809570312,635.0,1020.0,A41_symmetric,391.3595166163142
2.5,8.693267822265625,885.0,1270.0,A41_symmetric,521.554524361949
2.5,8.103607177734375,435.0,820.0,A41_symmetric,284.2231075697211
