case,tol_frac,tol_pct,state_final_code,state_final_name,ncyc_actual,t_terminal_s,vc1_final_v,vc2_final_v,vc3_final_v,vout_final_v,ladder_err_final,ladder_err_cyc1,monotonic_improving_every_cycle,il1_max_a,il1_min_a,ics1_max_a,ics1_min_a,ics2_max_a,ics2_min_a,ics3_max_a,ics3_min_a,converged,safety_cap_hit_without_converging,grade
r04e7_tol_2pct,0.02,2.0,3.0,DONE,8,4.23951868377e-06,35.5969161987,23.5969486237,11.798494339,0.0391459800303,0.044782718020833306,1.5999116632672221,True,2201.90063477,-413.919158936,4566.93594125,-2032.47570801,3330.49536133,-851.52520752,1016.08203125,-71.2878417969,True,False,LOCAL_PASS
r04e7_tol_5pct,0.05,5.0,3.0,DONE,6,4.07081497363e-06,34.8802833557,22.8803138733,11.4401731491,0.0389295965433,0.12440906630694443,1.5999116632672221,True,2201.90063477,-413.919158936,4566.93594125,-2032.47570801,3330.49536133,-842.830627441,1016.08203125,-71.2878417969,True,False,LOCAL_PASS
r04e7_tol_10pct,0.1,10.0,3.0,DONE,5,3.90029737104e-06,34.1337852478,22.1338176727,11.0669307709,0.0385441482067,0.20735266473472214,1.5999116632672221,True,2201.90063477,-413.919158936,4566.93594125,-2032.47570801,3330.49536133,-835.268249512,1016.08203125,-71.2878417969,True,False,LOCAL_PASS
