case,divider,cfly_uf,cdiv_uf,tramp_us,tstop_target_us,wall_clock_s,reused_by_reference,vc1_init,vc2_init,vc3_init,vc1_at_tramp,vc2_at_tramp,vc3_at_tramp,vout_at_tramp,vc1_final,vc2_final,vc3_final,vout_final,vout_pk,vout_min,vout_overshoot,iin_pk,il1_min,il1_max,il2_min,il2_max,il3_min,il3_max,il4_min,il4_max,vout_err,vc1_err,vc2_err,vc3_err,ladder_err,il1_hazard,il2_hazard,il3_hazard,il4_hazard,max_abs_il_a,within_250a_bound,il1_over_250,il2_over_250,il3_over_250,il4_over_250,predicted_threshold_us,predicted_direction,actual_direction,prediction_matched
e20_c100_t2p4,present,3.0,100.0,2.4,302.4,1263.475,False,3.07935235403e-13,1.04120847585e-09,5.201044688e-10,30.471158489,19.8106321214,9.74424300159,0.280138611794,35.7747391851,23.8092690976,11.8724167966,1.00625245116,1.78442633152,0.0,0.78442633152,688.026428223,-680.500427246,851.343933105,-632.768981934,884.453308105,-627.085266113,855.340576172,-580.710327148,942.31854248,0.00625245115658,0.00625724485957,0.00794712093156,0.0106319336183,0.0248362994095,851.343933105,884.453308105,855.340576172,942.31854248,942.31854248,False,True,True,True,True,4.8,unsafe,unsafe,True
e20_c100_t9p6,present,3.0,100.0,9.6,309.6,1189.768,False,7.70483969725e-14,2.6068991018e-10,1.30219713482e-10,33.7633652795,22.0821679338,10.883453647,0.899573087692,35.7498553667,23.768994314,11.8112734109,1.00615144292,1.12342584133,0.0,0.123425841331,172.006652832,-155.928207397,332.412719727,-112.858634949,287.877624512,-94.2026901245,260.571380615,-116.966789246,309.09362793,0.00615144291887,0.00694846203584,0.00962523691532,0.0157272157591,0.0323009147102,332.412719727,287.877624512,260.571380615,309.09362793,332.412719727,False,True,True,True,True,4.8,safe,unsafe,False
e18_div_f3_t5,present,3.0,300.0,5.0,305.0,1179.814,True,4.9497067864e-14,1.67570911543e-10,8.3758601384e-11,29.2077188492,19.2931120873,9.57363964504,0.756828010082,35.7808890272,23.8127077262,11.8237586637,1.00601089487,1.41230022907,0.0,0.412300229073,790.030212402,-398.593505859,472.701324463,-347.347961426,508.642211914,-318.813598633,505.849914551,-242.639053345,651.547119141,0.00601089486999,0.00608641590983,0.00780384473999,0.014686778024,0.0285770386738,472.701324463,508.642211914,505.849914551,651.547119141,651.547119141,False,True,True,True,True,14.4,unsafe,unsafe,True
e18_div_f3_t22p87,present,3.0,300.0,22.87,322.87,1341.366,True,1.07959361091e-14,3.66583100769e-11,1.83232766552e-11,34.1428424917,23.3696169492,11.2027704089,0.983862578869,35.7049345428,24.1743211579,11.8342218414,1.00603842419,1.05982065201,0.0,0.0598206520081,173.981307983,-64.5499801636,203.207733154,-48.9760437012,205.066345215,-38.1862716675,179.716262817,-40.2692337036,168.734268188,0.00603842419005,0.00819626270027,0.00726338157732,0.0138148465527,0.0292744908303,203.207733154,205.066345215,179.716262817,168.734268188,205.066345215,True,False,False,False,False,14.4,safe,safe,True
e20_c500_t12,present,3.0,500.0,12.0,312.0,1371.986,False,1.22934308811e-14,4.18991573267e-11,2.09455503381e-11,31.442966193,20.8213583539,10.3290658969,0.811682581902,35.7404496284,23.8259403021,11.8679272621,1.00595599699,1.13436949253,0.0,0.134369492531,525.190917969,-109.573898315,237.206680298,-112.735061646,247.959457397,-107.759429932,237.103485107,-95.6439056396,318.070251465,0.00595599699248,0.00720973254583,0.00725248741113,0.0110060614935,0.0254682814505,237.206680298,247.959457397,237.103485107,318.070251465,318.070251465,False,False,False,False,True,24.0,unsafe,unsafe,True
