case,divider,ramp,cfly_uf,tramp_us,tstop_target_us,wall_clock_s,reused_by_reference,vc1_init,vc2_init,vc3_init,vc1_at_tramp,vc2_at_tramp,vc3_at_tramp,vout_at_tramp,vc1_final,vc2_final,vc3_final,vout_final,vout_pk,vout_min,vout_overshoot,iin_pk,il1_min,il1_max,il2_min,il2_max,il3_min,il3_max,il4_min,il4_max,vout_err,vc1_err,vc2_err,vc3_err,ladder_err,max_abs_il_a,within_250a_bound
e16_ctrl_f3_t1,absent,fast,3.0,1.0,301.0,,True,4.14452012983e-07,3.6288592573e-18,0.0,0.780893095827,0.113068732892,0.0137645644659,0.0122579587623,19.876533934,13.1572380975,6.65956848059,0.558758281324,0.560476899147,0.0,-0.439523100853,150.07043457,-21.4466552734,150.07043457,-23.1201972961,94.4107818604,-18.4247112274,86.4951324463,-32.1006011963,84.0164413452,0.441241718676,0.447874057388,0.451781745938,0.445035959951,1.34469176328,150.07043457,True
e16_g1_f3_t68p61,absent,slow,3.0,68.61,368.61,,True,6.03604906327e-09,5.28642225408e-20,0.0,16.0089888573,10.6120370003,5.293596499,0.44914662838,19.914367199,13.2204933634,6.57799526435,0.558834910393,0.559050381184,0.0,-0.440949618816,134.54850769,-4.44887495041,86.9364776611,-0.720859587193,70.3658294678,-0.762312054634,70.251701355,-2.04166507721,70.478302002,0.441165089607,0.446823133361,0.449146109857,0.451833727971,1.34780297119,86.9364776611,True
e17_div_f3_t1,present,fast,3.0,1.0,301.0,1203.948,False,2.47741167884e-13,8.38273499862e-10,4.19002354962e-10,8.52576318368,5.6367563174,2.8041725593,0.00864518713206,35.7512600865,23.8141778288,11.8266273727,1.00604411388,1.82326197624,0.0,0.823261976242,2498.95092773,-860.800842285,813.139831543,-686.529785156,884.897216797,-604.42767334,877.83782959,-469.633209229,1046.42004395,0.00604411387963,0.00690944204251,0.00774259046561,0.0144477189436,0.0290997514517,1046.42004395,False
e17_div_f3_t68p61,present,slow,3.0,68.61,368.61,1641.488,False,3.61135008367e-15,1.22231721753e-11,6.10962488912e-12,35.4370641708,23.4337670194,11.6676103945,0.990100800991,35.8589462485,23.7984436624,11.8570472564,1.00589405047,1.02543604374,0.0,0.0254360437393,60.8182754517,-22.6163978577,154.728683472,-21.1644687653,147.851882935,-15.6541633606,140.793945312,-15.3457107544,143.34262085,0.00589405046849,0.00391815976516,0.00839818073413,0.0119127286351,0.0242290691344,154.728683472,True
