case,divider,cfly_uf,tramp_us,tstop_target_us,wall_clock_s,reused_by_reference,vc1_init,vc2_init,vc3_init,vc1_at_tramp,vc2_at_tramp,vc3_at_tramp,vout_at_tramp,vc1_final,vc2_final,vc3_final,vout_final,vout_pk,vout_min,vout_overshoot,iin_pk,il1_min,il1_max,il2_min,il2_max,il3_min,il3_max,il4_min,il4_max,vout_err,vc1_err,vc2_err,vc3_err,ladder_err,max_abs_il_a,within_250a_bound
e17_div_f3_t1,present,3.0,1.0,301.0,1203.948,True,2.47741167884e-13,8.38273499862e-10,4.19002354962e-10,8.52576318368,5.6367563174,2.8041725593,0.00864518713206,35.7512600865,23.8141778288,11.8266273727,1.00604411388,1.82326197624,0.0,0.823261976242,2498.95092773,-860.800842285,813.139831543,-686.529785156,884.897216797,-604.42767334,877.83782959,-469.633209229,1046.42004395,0.00604411387963,0.00690944204251,0.00774259046561,0.0144477189436,0.0290997514517,1046.42004395,False
e18_div_f3_t5,present,3.0,5.0,305.0,1179.814,False,4.9497067864e-14,1.67570911543e-10,8.3758601384e-11,29.2077188492,19.2931120873,9.57363964504,0.756828010082,35.7808890272,23.8127077262,11.8237586637,1.00601089487,1.41230022907,0.0,0.412300229073,790.030212402,-398.593505859,472.701324463,-347.347961426,508.642211914,-318.813598633,505.849914551,-242.639053345,651.547119141,0.00601089486999,0.00608641590983,0.00780384473999,0.014686778024,0.0285770386738,651.547119141,False
e18_div_f3_t22p87,present,3.0,22.87,322.87,1341.366,False,1.07959361091e-14,3.66583100769e-11,1.83232766552e-11,34.1428424917,23.3696169492,11.2027704089,0.983862578869,35.7049345428,24.1743211579,11.8342218414,1.00603842419,1.05982065201,0.0,0.0598206520081,173.981307983,-64.5499801636,203.207733154,-48.9760437012,205.066345215,-38.1862716675,179.716262817,-40.2692337036,168.734268188,0.00603842419005,0.00819626270027,0.00726338157732,0.0138148465527,0.0292744908303,205.066345215,True
e18_div_f3_t40,present,3.0,40.0,340.0,1655.129,False,6.18307320772e-15,2.0953303307e-11,1.04732915035e-11,34.8385506323,23.141349801,11.5283643386,0.989790141582,35.7762505445,23.7890395139,11.8268788916,1.00587666514,1.03237116337,0.0,0.0323711633682,101.148628235,-39.001865387,170.413650513,-30.2537441254,165.878570557,-20.2669620514,147.655715942,-21.4367542267,149.089859009,0.00587666513591,0.00621526265375,0.00879002025504,0.014426759032,0.0294320419408,170.413650513,True
e17_div_f3_t68p61,present,3.0,68.61,368.61,1641.488,True,3.61135008367e-15,1.22231721753e-11,6.10962488912e-12,35.4370641708,23.4337670194,11.6676103945,0.990100800991,35.8589462485,23.7984436624,11.8570472564,1.00589405047,1.02543604374,0.0,0.0254360437393,60.8182754517,-22.6163978577,154.728683472,-21.1644687653,147.851882935,-15.6541633606,140.793945312,-15.3457107544,143.34262085,0.00589405046849,0.00391815976516,0.00839818073413,0.0119127286351,0.0242290691344,154.728683472,True
